salesperson,transaction_count,total_sales,average_sale_price,total_commission,average_commission_rate,first_sale_date,last_sale_date
Robert Kerr,1,17445.0,17445.0,1209.41,0.0693,2023-04-17,2023-04-17
Ellen Hurst,1,17442.0,17442.0,1854.85,0.1063,2023-01-25,2023-01-25
Eric Levine,1,17441.0,17441.0,1300.17,0.0745,2022-07-26,2022-07-26
Colton Vang,1,17440.0,17440.0,995.81,0.0571,2022-05-29,2022-05-29
Darin Turner,1,17439.0,17439.0,2568.55,0.1473,2022-07-15,2022-07-15
Javier Reynolds III,1,17437.0,17437.0,1400.71,0.0803,2023-01-05,2023-01-05
David Drake,1,17435.0,17435.0,1595.88,0.0915,2022-05-19,2022-05-19
Pedro Baker,1,17434.0,17434.0,1615.05,0.0926,2022-06-06,2022-06-06
Melissa Gibson,1,17434.0,17434.0,1763.56,0.1012,2023-03-02,2023-03-02
Connie Powers,1,17434.0,17434.0,1105.05,0.0634,2022-08-08,2022-08-08
Samantha Richardson,1,17432.0,17432.0,1656.5,0.095,2023-03-25,2023-03-25
Anthony Stanley,1,17432.0,17432.0,1582.63,0.0908,2023-01-16,2023-01-16
Edward Porter,1,17431.0,17431.0,1127.75,0.0647,2022-08-30,2022-08-30
Bruce Kemp,1,17431.0,17431.0,1762.6,0.1011,2023-03-15,2023-03-15
Cameron Cox,1,17430.0,17430.0,2352.37,0.135,2023-02-06,2023-02-06
Gabriela Andrews,1,17427.0,17427.0,2602.66,0.1493,2022-08-03,2022-08-03
Catherine Mitchell,1,17425.0,17425.0,2473.72,0.142,2022-10-14,2022-10-14
Jennifer Pierce,1,17424.0,17424.0,1688.91,0.0969,2022-12-04,2022-12-04
Francisco Smith,1,17424.0,17424.0,2562.58,0.1471,2023-02-20,2023-02-20
Douglas Lutz,1,17421.0,17421.0,2400.29,0.1378,2022-11-20,2022-11-20
Tina Soto DVM,1,17421.0,17421.0,2531.34,0.1453,2023-01-23,2023-01-23
Alexis Poole,1,17420.0,17420.0,1972.18,0.1132,2022-10-12,2022-10-12
Ashley Delgado,1,17420.0,17420.0,2199.67,0.1263,2022-07-30,2022-07-30
Andrew Christensen,1,17420.0,17420.0,2012.55,0.1155,2022-06-05,2022-06-05
Charles Romero,1,17420.0,17420.0,1549.08,0.0889,2022-11-22,2022-11-22
Marcus Mcguire,1,17419.0,17419.0,1313.6,0.0754,2023-02-10,2023-02-10
Jeffrey Compton,1,17418.0,17418.0,2152.03,0.1236,2023-02-05,2023-02-05
Jessica Holt,1,17418.0,17418.0,2116.34,0.1215,2022-08-14,2022-08-14
Holly Bradshaw,1,17417.0,17417.0,1333.04,0.0765,2022-05-12,2022-05-12
Michelle Herman,1,17417.0,17417.0,2611.77,0.15,2022-10-25,2022-10-25
Leah Powell,1,17416.0,17416.0,1502.25,0.0863,2022-10-29,2022-10-29
Ashley Atkinson,1,17416.0,17416.0,1658.94,0.0953,2022-11-20,2022-11-20
Mr. Adam Stewart,1,17416.0,17416.0,2511.19,0.1442,2022-05-18,2022-05-18
James Swanson,1,17415.0,17415.0,1293.53,0.0743,2022-12-31,2022-12-31
Chad Cox,1,17414.0,17414.0,1378.5,0.0792,2022-09-09,2022-09-09
Alexander Wilson,1,17414.0,17414.0,1588.91,0.0912,2023-03-09,2023-03-09
Robert Davila,1,17407.0,17407.0,1799.68,0.1034,2022-05-31,2022-05-31
Zachary Miller DDS,1,17404.0,17404.0,2598.67,0.1493,2022-08-07,2022-08-07
Lauren Abbott,1,17404.0,17404.0,2053.68,0.118,2022-12-11,2022-12-11
Wayne Doyle,1,17403.0,17403.0,1092.83,0.0628,2022-06-03,2022-06-03
Levi Burton,1,17402.0,17402.0,1929.83,0.1109,2022-11-25,2022-11-25
Sara Willis,1,17402.0,17402.0,1497.99,0.0861,2022-06-08,2022-06-08
Diane Alvarado,1,17402.0,17402.0,1749.53,0.1005,2022-10-26,2022-10-26
Matthew Norton,1,17401.0,17401.0,2309.18,0.1327,2023-01-30,2023-01-30
Brittney Coleman,1,17399.0,17399.0,1462.13,0.084,2023-03-18,2023-03-18
Tracy Andrews,1,17392.0,17392.0,1970.85,0.1133,2022-09-14,2022-09-14
Bradley Mcgee,1,17391.0,17391.0,1048.42,0.0603,2022-08-12,2022-08-12
Rhonda Wilson,1,17389.0,17389.0,2365.76,0.136,2023-01-14,2023-01-14
Anthony Hutchinson,1,17388.0,17388.0,1469.43,0.0845,2022-09-20,2022-09-20
Sarah Juarez,1,17388.0,17388.0,2030.98,0.1168,2023-01-04,2023-01-04
Teresa Maldonado,1,17386.0,17386.0,1426.23,0.082,2022-11-15,2022-11-15
Karen Houston,1,17385.0,17385.0,1426.87,0.0821,2022-08-14,2022-08-14
Julie Hamilton,1,17384.0,17384.0,1139.16,0.0655,2022-10-11,2022-10-11
Chad Baxter,1,17379.0,17379.0,1184.14,0.0681,2022-05-20,2022-05-20
Brandon Thornton,1,17378.0,17378.0,1266.47,0.0729,2022-05-19,2022-05-19
Timothy Edwards,1,17374.0,17374.0,1242.73,0.0715,2022-07-26,2022-07-26
Tiffany Rodriguez,1,17374.0,17374.0,1589.68,0.0915,2022-05-19,2022-05-19
Victor Barr,1,17373.0,17373.0,1813.49,0.1044,2023-03-05,2023-03-05
Ms. Heather Kelly,1,17371.0,17371.0,1623.5,0.0935,2022-09-12,2022-09-12
Susan Vaughn,1,17369.0,17369.0,1261.2,0.0726,2022-05-14,2022-05-14
Kristy Day,1,17369.0,17369.0,1954.33,0.1125,2022-09-11,2022-09-11
Damon Rodriguez,1,17369.0,17369.0,1893.01,0.109,2022-08-01,2022-08-01
Anna Lam,1,17364.0,17364.0,1505.94,0.0867,2023-03-19,2023-03-19
Courtney Fritz,1,17363.0,17363.0,2259.27,0.1301,2023-03-02,2023-03-02
Mike Barrera,1,17362.0,17362.0,2082.91,0.12,2022-06-04,2022-06-04
Joshua Mercado,1,17360.0,17360.0,2104.01,0.1212,2022-09-04,2022-09-04
Joan Massey,1,17357.0,17357.0,996.77,0.0574,2022-06-11,2022-06-11
Jesse Hawkins,1,17357.0,17357.0,1013.44,0.0584,2022-05-13,2022-05-13
Eric Maddox,1,17355.0,17355.0,1271.63,0.0733,2023-01-09,2023-01-09
Phyllis Contreras,1,17355.0,17355.0,871.37,0.0502,2023-04-30,2023-04-30
George Peterson,1,17354.0,17354.0,1766.65,0.1018,2023-01-04,2023-01-04
Austin Hernandez,1,17354.0,17354.0,1980.33,0.1141,2022-11-30,2022-11-30
Monica Holder,1,17353.0,17353.0,1247.13,0.0719,2022-09-23,2022-09-23
William Fisher,1,17352.0,17352.0,1216.67,0.0701,2022-05-27,2022-05-27
Amy Padilla,1,17349.0,17349.0,1451.04,0.0836,2022-10-27,2022-10-27
Suzanne Robinson,1,17347.0,17347.0,972.03,0.056,2022-07-10,2022-07-10
Mr. Chase Rowe,1,17345.0,17345.0,972.29,0.0561,2022-07-23,2022-07-23
Anna Holmes,1,17344.0,17344.0,1297.08,0.0748,2022-10-16,2022-10-16
Tammy Campbell,1,17343.0,17343.0,1887.71,0.1088,2023-03-16,2023-03-16
Todd Sanchez,1,17343.0,17343.0,1629.04,0.0939,2022-08-29,2022-08-29
Kathy Chavez,1,17343.0,17343.0,1081.62,0.0624,2022-05-19,2022-05-19
Kathleen Barron,1,17342.0,17342.0,1698.5,0.0979,2022-12-13,2022-12-13
Dana Bailey,1,17341.0,17341.0,1087.09,0.0627,2022-11-26,2022-11-26
John Foley,1,17339.0,17339.0,1435.39,0.0828,2022-09-15,2022-09-15
Nicole Weaver,1,17338.0,17338.0,2178.29,0.1256,2022-10-25,2022-10-25
Charles Nolan,1,17336.0,17336.0,1797.82,0.1037,2022-07-13,2022-07-13
Christie Wright,1,17336.0,17336.0,2468.96,0.1424,2022-10-10,2022-10-10
Kaitlyn Lopez,1,17336.0,17336.0,2547.09,0.1469,2023-01-10,2023-01-10
Kimberly Lopez,1,17335.0,17335.0,1826.0,0.1053,2022-12-30,2022-12-30
Tonya Stokes,1,17335.0,17335.0,877.76,0.0506,2022-08-14,2022-08-14
Catherine Espinoza,1,17333.0,17333.0,2322.34,0.134,2022-11-10,2022-11-10
Laura Kelley,1,17333.0,17333.0,1283.94,0.0741,2022-05-04,2022-05-04
Donna Lyons,1,17332.0,17332.0,1062.53,0.0613,2022-07-19,2022-07-19
Erika Hampton,1,17331.0,17331.0,1337.92,0.0772,2022-12-09,2022-12-09
Tammy Mcintyre,1,17330.0,17330.0,2483.44,0.1433,2022-05-23,2022-05-23
Chad Kirby,1,17329.0,17329.0,1017.67,0.0587,2022-12-30,2022-12-30
Angel Evans,1,17328.0,17328.0,1220.65,0.0704,2023-03-29,2023-03-29
Jessica Tucker,1,17326.0,17326.0,1060.07,0.0612,2023-02-12,2023-02-12
Ryan Hayes,1,17326.0,17326.0,2181.72,0.1259,2022-08-06,2022-08-06
Tonya Wallace,1,17322.0,17322.0,2392.62,0.1381,2023-04-08,2023-04-08
Suzanne George,1,17320.0,17320.0,1825.78,0.1054,2022-12-27,2022-12-27
Travis Ochoa,1,17319.0,17319.0,1134.36,0.0655,2022-06-06,2022-06-06
Michael Weaver,1,17318.0,17318.0,1367.81,0.079,2023-03-20,2023-03-20
Laura Rogers,1,17317.0,17317.0,868.18,0.0501,2022-06-26,2022-06-26
Benjamin Wong,1,17315.0,17315.0,1970.17,0.1138,2023-03-14,2023-03-14
Jill Jenkins,1,17314.0,17314.0,1578.79,0.0912,2023-02-13,2023-02-13
Casey Cameron DVM,1,17313.0,17313.0,2181.14,0.126,2022-10-10,2022-10-10
Kelsey Moon,1,17311.0,17311.0,1863.86,0.1077,2022-12-05,2022-12-05
Shawn Solomon,1,17310.0,17310.0,954.8,0.0552,2022-07-04,2022-07-04
Amber Golden,1,17308.0,17308.0,1963.97,0.1135,2022-12-06,2022-12-06
Matthew Morris,1,17308.0,17308.0,1856.15,0.1072,2022-05-17,2022-05-17
Nancy Mercer,1,17305.0,17305.0,2280.72,0.1318,2022-10-15,2022-10-15
Pamela Maxwell,1,17305.0,17305.0,1225.47,0.0708,2022-11-19,2022-11-19
Margaret Kim,1,17305.0,17305.0,2297.62,0.1328,2022-12-20,2022-12-20
Haley Turner,1,17305.0,17305.0,1015.51,0.0587,2022-11-06,2022-11-06
Ashley Green,1,17301.0,17301.0,1616.07,0.0934,2023-01-18,2023-01-18
Kristina Butler,1,17301.0,17301.0,2446.28,0.1414,2023-03-06,2023-03-06
Luis Garner,1,17301.0,17301.0,2055.87,0.1188,2023-03-20,2023-03-20
Catherine Blevins,1,17301.0,17301.0,2587.87,0.1496,2022-10-04,2022-10-04
Michael Valdez,1,17301.0,17301.0,1257.24,0.0727,2023-02-17,2023-02-17
Ryan Baird,1,17297.0,17297.0,2566.01,0.1483,2022-07-25,2022-07-25
Judy Rios,1,17297.0,17297.0,2068.81,0.1196,2022-07-31,2022-07-31
Timothy Dean,1,17297.0,17297.0,1480.52,0.0856,2022-05-06,2022-05-06
Andrew Campbell,1,17296.0,17296.0,1820.39,0.1052,2023-04-22,2023-04-22
Karen Rodriguez,1,17296.0,17296.0,1981.79,0.1146,2022-08-27,2022-08-27
Deanna Walton,1,17295.0,17295.0,964.27,0.0558,2023-04-17,2023-04-17
Jeffrey Gray,1,17294.0,17294.0,2437.33,0.1409,2022-08-26,2022-08-26
Kristen Henderson,1,17292.0,17292.0,2321.3,0.1342,2022-10-27,2022-10-27
Richard Bishop,1,17292.0,17292.0,1326.03,0.0767,2022-11-09,2022-11-09
Sara Wilson,1,17291.0,17291.0,1373.59,0.0794,2022-08-25,2022-08-25
Betty Aguilar,1,17291.0,17291.0,945.8,0.0547,2022-06-08,2022-06-08
Kathryn Mendoza,1,17290.0,17290.0,2586.42,0.1496,2023-04-27,2023-04-27
John Robbins,1,17290.0,17290.0,1332.75,0.0771,2022-10-22,2022-10-22
Shelly Atkinson,1,17289.0,17289.0,1447.66,0.0837,2023-04-26,2023-04-26
Theresa Leblanc,1,17289.0,17289.0,2392.4,0.1384,2023-03-07,2023-03-07
Derek Powers,1,17288.0,17288.0,1746.59,0.101,2022-09-18,2022-09-18
Bethany Clay PhD,1,17287.0,17287.0,2062.12,0.1193,2022-10-10,2022-10-10
Alexis Kelly,1,17285.0,17285.0,1999.12,0.1157,2023-04-26,2023-04-26
Garrett Irwin,1,17285.0,17285.0,1195.29,0.0692,2022-07-22,2022-07-22
Heather Watson,1,17283.0,17283.0,1234.34,0.0714,2022-11-15,2022-11-15
Bradley Novak,1,17281.0,17281.0,2051.53,0.1187,2023-01-02,2023-01-02
Eduardo Griffith,1,17278.0,17278.0,1953.81,0.1131,2022-06-30,2022-06-30
Terri Orozco,1,17277.0,17277.0,1678.28,0.0971,2022-08-29,2022-08-29
Martin Taylor,1,17277.0,17277.0,2585.48,0.1496,2022-08-07,2022-08-07
Joanna Kim,1,17277.0,17277.0,2101.67,0.1216,2023-02-25,2023-02-25
Sarah Winters,1,17277.0,17277.0,2542.72,0.1472,2022-05-23,2022-05-23
Scott Parker,1,17276.0,17276.0,1231.03,0.0713,2023-02-14,2023-02-14
Christina Cummings,1,17272.0,17272.0,1091.79,0.0632,2023-02-24,2023-02-24
Alex Odonnell,1,17270.0,17270.0,874.66,0.0506,2022-10-01,2022-10-01
Michele Ray,1,17266.0,17266.0,2389.23,0.1384,2022-11-07,2022-11-07
Elizabeth Hendrix,1,17266.0,17266.0,1706.99,0.0989,2023-03-15,2023-03-15
Edwin Davis,1,17266.0,17266.0,2560.07,0.1483,2023-03-05,2023-03-05
Darlene Dawson,1,17263.0,17263.0,2074.66,0.1202,2022-12-23,2022-12-23
Miranda Griffin,1,17260.0,17260.0,1861.6,0.1079,2022-05-10,2022-05-10
Joseph Blevins,1,17260.0,17260.0,2033.88,0.1178,2023-04-13,2023-04-13
Gregory Miller,1,17260.0,17260.0,1102.02,0.0638,2022-11-30,2022-11-30
Oscar Sanchez,1,17260.0,17260.0,2027.91,0.1175,2023-04-05,2023-04-05
Natalie Fry,1,17258.0,17258.0,1217.99,0.0706,2022-08-09,2022-08-09
Lori Buchanan,1,17257.0,17257.0,1360.06,0.0788,2023-04-03,2023-04-03
Tanya Perez,1,17254.0,17254.0,2507.1,0.1453,2022-09-02,2022-09-02
Diane Estrada,1,17253.0,17253.0,902.18,0.0523,2022-07-29,2022-07-29
Katherine Garza,1,17252.0,17252.0,1301.8,0.0755,2022-09-26,2022-09-26
Susan Graham,1,17252.0,17252.0,1963.08,0.1138,2022-09-28,2022-09-28
Richard Reed,1,17251.0,17251.0,1685.0,0.0977,2023-02-28,2023-02-28
Dawn Strong,1,17251.0,17251.0,2089.34,0.1211,2022-05-11,2022-05-11
Jacob Mcconnell,1,17250.0,17250.0,2160.9,0.1253,2023-04-13,2023-04-13
Jennifer Murray,1,17246.0,17246.0,1784.35,0.1035,2022-09-22,2022-09-22
Joanna Simon,1,17237.0,17237.0,924.09,0.0536,2023-03-22,2023-03-22
Brittany Chavez,1,17236.0,17236.0,1519.98,0.0882,2022-09-09,2022-09-09
Donna Lambert,1,17235.0,17235.0,2320.56,0.1346,2023-01-31,2023-01-31
Sara Diaz,1,17233.0,17233.0,1145.16,0.0665,2023-01-21,2023-01-21
Bethany Butler,1,17230.0,17230.0,862.46,0.0501,2022-06-06,2022-06-06
Joshua Weber,1,17228.0,17228.0,1701.94,0.0988,2022-06-27,2022-06-27
Christina Vasquez,1,17228.0,17228.0,1254.97,0.0728,2022-08-17,2022-08-17
Chad Diaz,1,17227.0,17227.0,2081.91,0.1209,2023-02-12,2023-02-12
Cody Riley,1,17227.0,17227.0,1166.89,0.0677,2022-07-05,2022-07-05
Sara Castillo,1,17224.0,17224.0,1424.99,0.0827,2022-08-24,2022-08-24
Mrs. Sarah Bernard,1,17222.0,17222.0,1552.18,0.0901,2022-06-12,2022-06-12
Christopher Poole,1,17222.0,17222.0,1822.01,0.1058,2023-01-31,2023-01-31
Jonathan Navarro,1,17222.0,17222.0,2333.91,0.1355,2022-09-22,2022-09-22
Alexandra Glover,1,17221.0,17221.0,1109.7,0.0644,2022-08-23,2022-08-23
Melanie Davis,1,17219.0,17219.0,1461.33,0.0849,2022-06-04,2022-06-04
Craig Hughes,1,17219.0,17219.0,2100.54,0.122,2022-11-18,2022-11-18
Justin Anderson,1,17219.0,17219.0,2415.01,0.1403,2022-07-14,2022-07-14
Jacob Rose,1,17218.0,17218.0,1354.56,0.0787,2022-06-28,2022-06-28
Thomas Collins,1,17217.0,17217.0,1477.55,0.0858,2022-09-06,2022-09-06
Sharon Stark,1,17216.0,17216.0,868.63,0.0505,2023-01-19,2023-01-19
John Garner MD,1,17216.0,17216.0,1933.43,0.1123,2023-01-01,2023-01-01
Lindsay Massey,1,17216.0,17216.0,1285.19,0.0747,2023-04-17,2023-04-17
Angela Montgomery,1,17214.0,17214.0,915.94,0.0532,2022-12-05,2022-12-05
Kevin Scott,1,17212.0,17212.0,2446.71,0.1422,2022-12-05,2022-12-05
Joseph Livingston,1,17212.0,17212.0,1595.05,0.0927,2023-02-22,2023-02-22
Melissa Callahan,1,17212.0,17212.0,899.58,0.0523,2022-05-11,2022-05-11
Colton Chase,1,17212.0,17212.0,1013.92,0.0589,2023-04-23,2023-04-23
Wanda King,1,17211.0,17211.0,1450.66,0.0843,2022-12-11,2022-12-11
Bonnie Kirk,1,17211.0,17211.0,2183.99,0.1269,2023-04-10,2023-04-10
Dave Stephens,1,17210.0,17210.0,1683.87,0.0978,2022-06-14,2022-06-14
James Espinoza,1,17209.0,17209.0,2501.01,0.1453,2023-03-14,2023-03-14
David Pruitt,1,17206.0,17206.0,1406.99,0.0818,2022-07-14,2022-07-14
Vanessa Odom PhD,1,17205.0,17205.0,2424.02,0.1409,2022-06-04,2022-06-04
Edwin Mills,1,17205.0,17205.0,922.87,0.0536,2023-01-22,2023-01-22
Tanya Graham,1,17204.0,17204.0,2470.37,0.1436,2022-11-24,2022-11-24
Maria Gregory,1,17204.0,17204.0,895.98,0.0521,2022-07-09,2022-07-09
Amanda Powell,1,17203.0,17203.0,2544.02,0.1479,2022-06-12,2022-06-12
Christina Spears,1,17201.0,17201.0,2156.53,0.1254,2022-10-01,2022-10-01
Brian Norris,1,17197.0,17197.0,1142.99,0.0665,2022-05-07,2022-05-07
Joel Torres,1,17196.0,17196.0,1638.71,0.0953,2023-02-17,2023-02-17
John Osborne,1,17196.0,17196.0,1029.37,0.0599,2022-09-01,2022-09-01
Shane Clay,1,17194.0,17194.0,1729.9,0.1006,2022-10-10,2022-10-10
Bonnie Sexton,1,17192.0,17192.0,1223.43,0.0712,2022-07-16,2022-07-16
Jermaine Jackson,1,17192.0,17192.0,1892.33,0.1101,2022-05-17,2022-05-17
Margaret Reese,1,17190.0,17190.0,2122.21,0.1235,2022-05-17,2022-05-17
Emily Ramsey,1,17190.0,17190.0,1241.74,0.0722,2022-07-19,2022-07-19
Thomas Jenkins,1,17189.0,17189.0,983.01,0.0572,2022-07-25,2022-07-25
Gloria Thompson,1,17187.0,17187.0,1955.82,0.1138,2022-08-26,2022-08-26
Christina Butler,1,17187.0,17187.0,2002.94,0.1165,2022-09-05,2022-09-05
Sandra Rodriguez,1,17185.0,17185.0,2253.71,0.1311,2022-11-14,2022-11-14
Craig Sanchez,1,17181.0,17181.0,1158.25,0.0674,2022-09-23,2022-09-23
Justin Lowe,1,17180.0,17180.0,1662.76,0.0968,2022-06-15,2022-06-15
Yvonne Mccoy,1,17179.0,17179.0,1358.68,0.0791,2022-07-24,2022-07-24
Karen Lindsey,1,17178.0,17178.0,1176.65,0.0685,2022-05-06,2022-05-06
Amber Stevenson,1,17177.0,17177.0,1711.69,0.0996,2023-03-11,2023-03-11
Michele Jensen MD,1,17176.0,17176.0,2190.62,0.1275,2022-07-22,2022-07-22
Patricia Webb,1,17176.0,17176.0,1251.87,0.0729,2022-08-20,2022-08-20
Lauren Wilkerson,1,17175.0,17175.0,1397.78,0.0814,2023-03-29,2023-03-29
Ronald Barrera,1,17174.0,17174.0,2083.5,0.1213,2022-11-03,2022-11-03
Karen Bryant,1,17173.0,17173.0,2297.12,0.1338,2022-09-03,2022-09-03
Ian Charles,1,17173.0,17173.0,2186.12,0.1273,2023-01-02,2023-01-02
Amy Douglas,1,17168.0,17168.0,1216.43,0.0709,2022-08-19,2022-08-19
Melanie Watson,1,17166.0,17166.0,1938.24,0.1129,2023-02-20,2023-02-20
Lisa Gilmore,1,17163.0,17163.0,871.8,0.0508,2023-02-19,2023-02-19
Zachary Brewer,1,17161.0,17161.0,1691.36,0.0986,2022-12-03,2022-12-03
Melanie Richardson,1,17159.0,17159.0,2048.39,0.1194,2023-03-07,2023-03-07
Joan Harris,1,17154.0,17154.0,2131.25,0.1242,2022-11-16,2022-11-16
Chad Simmons,1,17154.0,17154.0,1182.41,0.0689,2023-04-11,2023-04-11
Stephanie Grimes,1,17152.0,17152.0,1176.15,0.0686,2023-02-09,2023-02-09
David Small IV,1,17148.0,17148.0,2033.02,0.1186,2023-02-08,2023-02-08
Alexander Wheeler,1,17148.0,17148.0,2129.43,0.1242,2023-04-15,2023-04-15
Michael Foley,1,17147.0,17147.0,2040.98,0.119,2022-12-09,2022-12-09
Keith Gates,1,17146.0,17146.0,1406.42,0.082,2022-11-26,2022-11-26
Jacob Mendoza,1,17145.0,17145.0,964.24,0.0562,2023-04-05,2023-04-05
Frank Scott,1,17143.0,17143.0,1970.28,0.1149,2023-02-02,2023-02-02
Matthew Mcguire,1,17143.0,17143.0,1315.02,0.0767,2022-05-19,2022-05-19
Chase Gibson,1,17143.0,17143.0,2477.42,0.1445,2022-05-20,2022-05-20
Joseph Benton,1,17142.0,17142.0,1445.55,0.0843,2022-11-23,2022-11-23
Michael Chan,1,17142.0,17142.0,1149.12,0.067,2023-03-06,2023-03-06
Bryan Frey,1,17141.0,17141.0,1176.78,0.0687,2022-05-10,2022-05-10
Lisa Camacho,1,17140.0,17140.0,1531.32,0.0893,2023-01-12,2023-01-12
Dr. Trevor Yang,1,17140.0,17140.0,1356.97,0.0792,2022-12-25,2022-12-25
Heather Sanford,1,17135.0,17135.0,1859.21,0.1085,2023-03-14,2023-03-14
Steven Case,1,17133.0,17133.0,2121.52,0.1238,2022-09-27,2022-09-27
Brian Norton,1,17130.0,17130.0,2036.59,0.1189,2023-02-24,2023-02-24
Andrew Clark,1,17130.0,17130.0,1247.92,0.0729,2022-06-29,2022-06-29
Brittney Juarez,1,17126.0,17126.0,2444.61,0.1427,2022-07-29,2022-07-29
Michele Clark,1,17124.0,17124.0,2061.39,0.1204,2023-04-15,2023-04-15
Jeffery Peterson,1,17123.0,17123.0,1201.61,0.0702,2022-06-15,2022-06-15
Lori Young,1,17122.0,17122.0,896.1,0.0523,2022-09-30,2022-09-30
Brandon Dixon DVM,1,17121.0,17121.0,2499.28,0.146,2022-06-12,2022-06-12
Ms. Morgan Rodgers,1,17121.0,17121.0,1766.53,0.1032,2022-09-22,2022-09-22
Beth Rosario,1,17120.0,17120.0,1700.24,0.0993,2022-10-24,2022-10-24
Shawn Bowman,1,17118.0,17118.0,922.96,0.0539,2022-08-16,2022-08-16
Mr. Jeffrey Werner,1,17117.0,17117.0,1121.06,0.0655,2023-03-27,2023-03-27
Matthew Maxwell,1,17117.0,17117.0,2552.68,0.1491,2022-10-30,2022-10-30
Ronald Cuevas,1,17117.0,17117.0,2234.74,0.1306,2022-09-07,2022-09-07
Jesse Benson,1,17115.0,17115.0,1021.54,0.0597,2023-02-09,2023-02-09
Michelle Cowan,1,17115.0,17115.0,1956.07,0.1143,2022-05-24,2022-05-24
Micheal Holland,1,17115.0,17115.0,1557.29,0.091,2022-06-17,2022-06-17
Tiffany Benjamin,1,17115.0,17115.0,2210.37,0.1291,2022-11-27,2022-11-27
Seth Walker,1,17114.0,17114.0,1125.96,0.0658,2023-02-01,2023-02-01
Jennifer Lowe,1,17114.0,17114.0,1907.49,0.1115,2023-02-28,2023-02-28
Jessica Bray,1,17114.0,17114.0,1434.18,0.0838,2022-05-21,2022-05-21
Mary Klein,1,17113.0,17113.0,1338.23,0.0782,2022-07-22,2022-07-22
Sabrina French,1,17113.0,17113.0,1838.4,0.1074,2022-06-16,2022-06-16
Timothy Rogers,1,17113.0,17113.0,2429.4,0.142,2022-05-14,2022-05-14
Jessica Green,1,17113.0,17113.0,941.42,0.055,2023-03-27,2023-03-27
Kenneth Hancock,1,17111.0,17111.0,2407.19,0.1407,2022-07-03,2022-07-03
Paul Leonard III,1,17109.0,17109.0,1765.46,0.1032,2023-01-16,2023-01-16
Ryan Buchanan,1,17108.0,17108.0,1865.82,0.1091,2023-04-19,2023-04-19
Taylor Leonard,1,17104.0,17104.0,1826.97,0.1068,2022-10-17,2022-10-17
Julie Hill,1,17102.0,17102.0,2279.41,0.1333,2022-06-28,2022-06-28
Jennifer Logan,1,17102.0,17102.0,1708.03,0.0999,2022-11-04,2022-11-04
Michelle Oneal,1,17099.0,17099.0,2430.21,0.1421,2022-12-08,2022-12-08
Elizabeth Maynard,1,17098.0,17098.0,1103.37,0.0645,2023-03-07,2023-03-07
Dawn Villegas,1,17097.0,17097.0,993.0,0.0581,2022-12-10,2022-12-10
Dennis Bates,1,17096.0,17096.0,2219.79,0.1298,2023-01-14,2023-01-14
Gerald Hill,1,17096.0,17096.0,2357.68,0.1379,2022-07-06,2022-07-06
Catherine Sullivan,1,17095.0,17095.0,951.44,0.0557,2022-05-30,2022-05-30
Kerry Moore,1,17094.0,17094.0,895.09,0.0524,2023-04-14,2023-04-14
Danielle Madden,1,17094.0,17094.0,2052.62,0.1201,2023-02-16,2023-02-16
Cody Berry,1,17093.0,17093.0,2526.73,0.1478,2022-09-18,2022-09-18
Christopher Wells,1,17091.0,17091.0,2355.2,0.1378,2023-01-15,2023-01-15
Holly Thomas,1,17090.0,17090.0,2395.38,0.1402,2022-06-27,2022-06-27
Veronica Jones,1,17090.0,17090.0,1575.49,0.0922,2022-10-03,2022-10-03
Tracy Mack,1,17090.0,17090.0,1430.06,0.0837,2023-03-04,2023-03-04
Amanda Hudson,1,17088.0,17088.0,1825.86,0.1069,2022-11-23,2022-11-23
Kristen Aguilar,1,17087.0,17087.0,1309.22,0.0766,2022-12-05,2022-12-05
Heather Rogers,1,17085.0,17085.0,1371.29,0.0803,2023-03-30,2023-03-30
Cameron Ramos,1,17084.0,17084.0,2073.3,0.1214,2023-02-22,2023-02-22
Peter Potts,1,17084.0,17084.0,1663.81,0.0974,2022-07-14,2022-07-14
Johnny Nguyen,1,17081.0,17081.0,2349.39,0.1375,2023-01-16,2023-01-16
Mercedes Butler,1,17079.0,17079.0,1174.14,0.0687,2023-03-31,2023-03-31
Mary Glenn,1,17076.0,17076.0,2513.62,0.1472,2023-03-24,2023-03-24
Michael Solis,1,17075.0,17075.0,1732.4,0.1015,2022-11-07,2022-11-07
Kevin Peters,1,17075.0,17075.0,1891.51,0.1108,2022-09-03,2022-09-03
Anthony Morse DDS,1,17072.0,17072.0,1002.8,0.0587,2022-09-27,2022-09-27
Susan Hicks,1,17070.0,17070.0,1480.14,0.0867,2022-11-03,2022-11-03
Katherine Fowler,1,17068.0,17068.0,1624.29,0.0952,2023-02-19,2023-02-19
Katherine Evans,1,17068.0,17068.0,1049.02,0.0615,2023-02-18,2023-02-18
Dr. Curtis Gutierrez,1,17067.0,17067.0,1188.99,0.0697,2023-03-30,2023-03-30
Roy Larsen,1,17067.0,17067.0,2519.06,0.1476,2022-05-12,2022-05-12
Tracy Edwards,1,17066.0,17066.0,1702.26,0.0997,2022-07-07,2022-07-07
Nancy Cox,1,17066.0,17066.0,1326.93,0.0778,2023-04-02,2023-04-02
Andrea Lucas,1,17065.0,17065.0,2481.8,0.1454,2022-11-15,2022-11-15
